ID,DATA,DIA_SEMANA,HORARIO,ESTADO,MUNICIPIO,CAUSA_ACIDENTE,TIPO_ACIDENTE,CLASSIFICACAO_ACIDENTE,FASE_DIA,SENTIDO_VIA,CONDICAO_METEREOLOGICA,TIPO_PISTA,TRACADO_VIA,PESSOAS,MORTOS,ILESOS,FERIDOS,VEICULOS,REGIONAL,MES
331696,01/01/2021,sexta-feira,00:00:00,SP,TAUBATE,Demais falhas mecânicas ou elétricas,Incêndio,Sem Vítimas,Plena Noite,Crescente,Nublado,Dupla,Reta,1,0,1,0,1,SR-SP,1.0
331710,01/01/2021,sexta-feira,02:53:00,SP,GUARULHOS,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,8,0,1,7,2,SR-SP,1.0
331719,01/01/2021,sexta-feira,04:15:00,SP,EMBU DAS ARTES,Manobra de mudança de faixa,Colisão lateral,Sem Vítimas,Amanhecer,Decrescente,Céu Claro,Dupla,Reta,4,0,4,0,2,SR-SP,1.0
331726,01/01/2021,sexta-feira,04:30:00,SP,ICEM,Ausência de reação do condutor,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Simples,Desvio Temporário,1,0,0,1,1,SR-SP,1.0
331727,01/01/2021,sexta-feira,04:00:00,SP,GUARULHOS,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Dupla,Reta,1,0,0,1,1,SR-SP,1.0
331730,01/01/2021,sexta-feira,05:30:00,SP,REGISTRO,Reação tardia ou ineficiente do condutor,Tombamento,Com Vítimas Feridas,Amanhecer,Crescente,Nublado,Dupla,Curva,1,0,0,1,1,SR-SP,1.0
331780,01/01/2021,sexta-feira,06:45:00,SP,LINS,Ingestão de álcool pelo condutor,Colisão traseira,Sem Vítimas,Amanhecer,Crescente,Nublado,Simples,Interseção de vias,4,0,3,0,2,SR-SP,1.0
331795,01/01/2021,sexta-feira,08:05:00,SP,SAO PAULO,Ingestão de álcool e/ou substâncias psicoativas pelo pedestre,Atropelamento de Pedestre,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,2,0,1,1,1,SR-SP,1.0
331818,01/01/2021,sexta-feira,12:03:00,SP,BARRA DO TURVO,Pista Escorregadia,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Garoa/Chuvisco,Dupla,Curva,2,0,1,1,1,SR-SP,1.0
331830,01/01/2021,sexta-feira,14:00:00,SP,MAIRIPORA,Velocidade Incompatível,Capotamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Não Informado,4,0,0,4,1,SR-SP,1.0
331878,01/01/2021,sexta-feira,17:30:00,SP,SAO LOURENCO DA SERRA,Avarias e/ou desgaste excessivo no pneu,Colisão com objeto,Com Vítimas Feridas,Anoitecer,Decrescente,Chuva,Dupla,Desvio Temporário,1,0,0,1,1,SR-SP,1.0
331885,01/01/2021,sexta-feira,16:10:00,SP,REGISTRO,Chuva,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva,2,0,0,2,1,SR-SP,1.0
331886,01/01/2021,sexta-feira,18:00:00,SP,REGISTRO,Pista Escorregadia,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Reta,2,0,0,2,1,SR-SP,1.0
331893,01/01/2021,sexta-feira,19:20:00,SP,TABOAO DA SERRA,Ausência de reação do condutor,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,1,0,0,1,1,SR-SP,1.0
331918,01/01/2021,sexta-feira,21:00:00,SP,OCAUCU,Ingestão de álcool pelo condutor,Colisão lateral mesmo sentido,Sem Vítimas,Plena Noite,Decrescente,Nublado,Simples,Não Informado,8,0,8,0,2,SR-SP,1.0
331948,02/01/2021,sábado,03:15:00,SP,SAO LOURENCO DA SERRA,Velocidade Incompatível,Saída de leito carroçável,Sem Vítimas,Plena Noite,Crescente,Nublado,Dupla,Reta,1,0,0,0,1,SR-SP,2.0
