DATA,DIA,TIPO,DESCRICAO,ESTADO,CODIGO_MUNICIPIO,ANO,MES,NOME_MES,FERIADO_NACIONAL
2021-01-20,20,ESTADUAL,"Dia 20 de janeiro, é feriado no calendário oficial do Governo do Estado do Acre, conforme lei Nº 3137/2016. O Dia do Católico foi criado em 2016, em similaridade ao dia do Evngélico",AC,,2021,1,January,Não
2021-01-23,23,ESTADUAL,"Dia 23 de janeiro, é feriado no calendário oficial do Governo do Estado do Acre, conforme lei Nº 1538/2004. O Dia do Evangélico foi criado em 2004, por meio de projeto de lei apresentado pelo deputado Helder Paiva, aprovado pela então governador Jorge Viana",AC,,2021,1,January,Não
2021-03-12,12,ESTADUAL,"Feriado conforme lei Nº 1411/2001, mas adiado para Sexta-Feira. O Dia Internacional da Mulher, celebrado em 8 de março, tem como origem as manifestações das mulheres russas por melhores condições de vida e trabalho e contra a entrada da Rússia czarista na Primeira1 Guerra Mundial.",AC,,2021,3,March,Não
2021-06-15,15,ESTADUAL,"De acordo com a Lei Estadual nº 14, de 02 de setembro de 1964",AC,,2021,6,June,Não
2021-08-06,6,ESTADUAL,,AC,,2021,8,August,Não
2021-09-05,5,ESTADUAL,"Conforme a lei Nº 243/1968, no dia 5 de setembro comemora-se no Acre o dia da Amazônia, a maior floresta do mundo. Feriado adiado para Sexta-Feira.",AC,,2021,9,September,Não
2021-06-24,24,ESTADUAL,"O mastro de São João, conhecido em Portugal também como o mastro dos Santos Populares, é erguido durante a festa junina para celebrar os três santos ligados a essa festa.",AL,,2021,6,June,Não
2021-06-29,29,ESTADUAL,"São Pedro foi um dos doze apóstolos de Jesus Cristo, segundo o Novo Testamento e, mais especificamente, os quatro Evangelhos. Os católicos consideram Pedro como o primeiro Bispo de Roma, sendo por isso o primeiro Papa da Igreja Católica.",AL,,2021,6,June,Não
2021-09-16,16,ESTADUAL,Comemoração da emancipação política do estado de Alagoas. Inicialmente o território alagoano constituía a parte sul da Capitania de Pernambuco e só conseguiu sua autonomia em 1817.,AL,,2021,9,September,Não
2021-11-20,20,ESTADUAL,"O Dia Nacional da Consciência Negra é celebrado em 20 de novembro, a data foi escolhida por coincidir com o dia da morte de Zumbi dos Palmares, em 1695.",AL,,2021,11,November,Não
2021-11-30,30,ESTADUAL,"Dia do evangélico, conforme decreto nº 56.880, de 19 de Dezembro de 2017.",AL,,2021,11,November,Não
2021-09-05,5,ESTADUAL,Dia da elevação do Amazonas à categoria de província.,AM,,2021,9,September,Não
2021-11-20,20,ESTADUAL,"O Dia Nacional da Consciência Negra é celebrado em 20 de novembro, a data foi escolhida por coincidir com o dia da morte de Zumbi dos Palmares, em 1695.",AM,,2021,11,November,Não
2021-12-08,8,ESTADUAL,,AM,,2021,12,December,Não
2021-03-19,19,ESTADUAL,São José é o santo padroeiro do Estado do Amapá.,AP,,2021,3,March,Não
2021-05-15,15,ESTADUAL,"Homenagem a Francisco Xavier da Veiga Cabral, o Cabralzinho, que rechaçou uma invasão francesa em 15 de maio de 1895. Conforme lei 2.213/2017",AP,,2021,5,May,Não
2021-07-25,25,ESTADUAL,De acordo com a Lei nº 1.696 de 09 de julho de 2012,AP,,2021,7,July,Não
2021-09-13,13,ESTADUAL,Dia da criação do território federal do Amapá.,AP,,2021,9,September,Não
2021-11-20,20,ESTADUAL,"De acordo com a Lei Nº 1.169, de 27 de dezembro de 2007",AP,,2021,11,November,Não
2021-11-30,30,ESTADUAL,Dia 30 de Novembro comemora-se o dia o evangélico no estado do Amapá.,AP,,2021,11,November,Não
2021-12-08,8,ESTADUAL,Dia de Nossa Senhora da Conceição,AP,,2021,12,December,Não
2021-07-02,2,ESTADUAL,"A Independência da Bahia foi um movimento que, motivado pelo sentimento federalista emancipador de seu povo, em 2 de julho de 1823 terminou pela inserção daquela então província na unidade nacional brasileira.",BA,,2021,7,July,Não
2021-03-25,25,ESTADUAL,"É a data magna onde ocorrem as comemorações do estado do Ceará, sendo o mesmo dia da abolição da escravidão neste estado. O Ceará foi a primeira província brasileira a aboliar a escravidão.",CE,,2021,3,March,Não
2021-11-30,30,ESTADUAL,O presidente Lula sancionou a Lei Nº 12.328 que torna o dia 30 de novembro o Dia Nacional do Evangélico. Este dia é feriado no DF e em alguns outros estados,DF,,2021,11,November,Não
2021-07-28,28,ESTADUAL,"As tropas de Portugal depois de cercadas por terra e mar, acabaram por se render, e o Maranhão, a partir de 28 de julho de 1823, deixou de ser estado colonial de Portugal, tornando-se província do Império do Brasil.",MA,,2021,7,July,Não
2021-11-20,20,ESTADUAL,Dia de comemoração da Consciência Negra,MA,,2021,11,November,Não
2021-10-11,11,ESTADUAL,Comemorações do aniversário de criação do Estado do Mato Grosso do Sul.,MS,,2021,10,October,Não
2021-11-20,20,ESTADUAL,"O Dia Nacional da Consciência Negra é celebrado em 20 de novembro, a data foi escolhida por coincidir com o dia da morte de Zumbi dos Palmares, em 1695.",MT,,2021,11,November,Não
2021-08-15,15,ESTADUAL,"""A Província do Pará foi a última a ser incorporada ao Império, quando da Independência do Brasil uma vez que, com fortes laços com Portugal, não aceitou fazer parte da nova nação.",PA,,2021,8,August,Não
2021-12-08,8,ESTADUAL,Dia de Nossa Senhora da Conceição,PA,,2021,12,December,Não
2021-07-26,26,ESTADUAL,Homenagem ao ex-presidente João Pessoa que foi assassinado em 26 de Julho de 1930.,PB,,2021,7,July,Não
2021-08-05,5,ESTADUAL,Comemoração da fundação do estado da Paraíba.,PB,,2021,8,August,Não
2021-03-06,6,ESTADUAL,"Data Magna de Pernambuco (Lei nº 16.059, de 8 de junho de 2017). A chamada Revolução Pernambucana, também conhecida como Revolução dos Padres, eclodiu em 6 de março de 1817 na então Província de Pernambuco, no Brasil.",PE,,2021,3,March,Não
2021-06-24,24,ESTADUAL,"O mastro de São João, conhecido em Portugal também como o mastro dos Santos Populares, é erguido durante a festa junina para celebrar os três santos ligados a essa festa.",PE,,2021,6,June,Não
2021-10-19,19,ESTADUAL,"Independência da província do Piauí da coroa portuguesa, que ocorreu na cidade de Parnaiba. Feriado Estadual de acordo com a Lei Estadual nº 176, de 30.08.1937.",PI,,2021,10,October,Não
2021-02-16,16,ESTADUAL,"Feriado estadual no Rio de Janeiro, conforme lei 5243/2008. Ponto Facultativo no restante do Brasil",RJ,,2021,2,February,Não
2021-04-23,23,ESTADUAL,"São Jorge foi, de acordo com a tradição, um padre e soldado romano no exército do imperador Diocleciano, venerado como mártir cristão.",RJ,,2021,4,April,Não
2021-11-20,20,ESTADUAL,"O Dia Nacional da Consciência Negra é Feriado no Rio de Janeiro e celebrado em 20 de novembro, a data foi escolhida por coincidir com o dia da morte de Zumbi dos Palmares, em 1695.",RJ,,2021,11,November,Não
2021-10-03,3,ESTADUAL,"No dia 03 de outubro de 1645, ocorreu o Massacre de Uruaçu, onde 28 cristãos foram mortos por índios e soldados holandeses.",RN,,2021,10,October,Não
2021-01-04,4,ESTADUAL,Aniversário da data de criação do Estado de Rondônia.,RO,,2021,1,January,Não
2021-06-18,18,ESTADUAL,Dia 18 de Junho comemora-se o dia o evangélico no estado de Rondônia.,RO,,2021,6,June,Não
2021-10-05,5,ESTADUAL,Comemorações do Aniversário da criação do Estado de Roraima.,RR,,2021,10,October,Não
